lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized
Aussterben	NOUN	1850	1	Aussterben-c1-i13	 	Und so ist hier der Ort, auf die Frage zurückzukommen, zu welcher wir durch Waitz veranlasst waren: sind wir wirklich zu dem Geständniss genöthigt, dass uns das Aussterben der Naturvölker vollständig zu erklären noch nicht gelingt?	161:171	0:231	Und so ist hier der Ort , auf die Frage zurückzukommen , zu welcher wir durch Waitz veranlasst waren : sind wir wirklich zu dem Geständniss genöthigt , dass uns das Aussterben der Naturvölker vollständig zu erklären noch nicht gelingt ?	31	0:41
Aussterben	NOUN	1850	1	Aussterben-c1-i2	 	Einmal verlöscht unter der allgemeinen Erstarrung bei dem Aussterben mittelalterlicher unbefangener Lebenslust und Fröhlichkeit die im Volk liegende Triebkraft zu neuer Trachtenbildung, und zweitens wurde durch die immer näheren und innigeren Wechselbeziehungen der Völker, sowie durch die Verschmelzung der Stände die Bildung mehr und mehr ausgeglichen und erhielt einen universalistischen Charakter:	58:68	0:401	Einmal verlöscht unter der allgemeinen Erstarrung bei dem Aussterben mittelalterlicher unbefangener Lebenslust und Fröhlichkeit die im Volk liegende Triebkraft zu neuer Trachtenbildung , und zweitens wurde durch die immer näheren und innigeren Wechselbeziehungen der Völker , sowie durch die Verschmelzung der Stände die Bildung mehr und mehr ausgeglichen und erhielt einen universalistischen Charakter :	8	0:54
Aussterben	NOUN	1850	1	Aussterben-c1-i28	 	Man darf die jetzt noch hier und da in Deutschland vorkommenden Taxusbäume als Ueberreste der ehemaligen dichten Bewaldung Deutschlands ansehen und im Allgemeinen erscheint der Taxus als eine im Aussterben begriffene Pflanze.	195:205	0:225	Man darf die jetzt noch hier und da in Deutschland vorkommenden Taxusbäume als Ueberreste der ehemaligen dichten Bewaldung Deutschlands ansehen und im Allgemeinen erscheint der Taxus als eine im Aussterben begriffene Pflanze .	29	0:33
Aussterben	NOUN	1850	1	Aussterben-c1-i50	 	Sie waren schon im Aussterben begriffen, als die Kultur zu ihnen kam, und diese hat nur — einzelne Völker, wo ihre Träger grössere Schuld auf sich luden, abgerechnet — durch die physische und psychische Erregung, die sie bringen musste und wodurch ein sechster Grund für ihr Hinschwinden dazu kommt, das Uebel, welches diese Völker wie ein schleichendes Gift durchdrungen hatte, zum rascheren Ausbruch und schnelleren Verlauf gebracht.	19:29	0:435	Sie waren schon im Aussterben begriffen , als die Kultur zu ihnen kam , und diese hat nur — einzelne Völker , wo ihre Träger grössere Schuld auf sich luden , abgerechnet — durch die physische und psychische Erregung , die sie bringen musste und wodurch ein sechster Grund für ihr Hinschwinden dazu kommt , das Uebel , welches diese Völker wie ein schleichendes Gift durchdrungen hatte , zum rascheren Ausbruch und schnelleren Verlauf gebracht .	4	0:76
Aussterben	NOUN	1850	1	Aussterben-c1-i25	 	„Wenig von griechischer Litteratur wäre nach Byzanz gelangt und die moderne Bildung bodenlos geworden, wenn nicht eine dichte Kette von Gelehrten recht emsige Studien der in Alexandria gehäuften Bücherschätze unter den Ptolemäern und noch lange nach ihrem Aussterben betrieb“.	256:266	0:276	„ Wenig von griechischer Litteratur wäre nach Byzanz gelangt und die moderne Bildung bodenlos geworden , wenn nicht eine dichte Kette von Gelehrten recht emsige Studien der in Alexandria gehäuften Bücherschätze unter den Ptolemäern und noch lange nach ihrem Aussterben betrieb “ .	39	0:43
Aussterben	NOUN	1968	2	Aussterben-c2-i59	 	• Einen Vortrag zum Thema „Vom Leben und Aussterben der Saurier" hält Dr. W. Freydank um 10 Uhr im Museum für Naturkunde dar Humboldt-Universität in Mitte.	41:51	0:155	• Einen Vortrag zum Thema „ Vom Leben und Aussterben der Saurier " hält Dr. W. Freydank um 10 Uhr im Museum für Naturkunde dar Humboldt-Universität in Mitte .	9	0:29
Aussterben	NOUN	1968	2	Aussterben-c2-i13	 	Es konnte nicht verhindert werden, daß die Zahl vom Aussterben bedrohter Tierarten von 1970 bis 1985 von 203 auf 296 gestiegen ist.	52:62	0:131	Es konnte nicht verhindert werden , daß die Zahl vom Aussterben bedrohter Tierarten von 1970 bis 1985 von 203 auf 296 gestiegen ist .	10	0:24
Aussterben	NOUN	1968	2	Aussterben-c2-i97	 	Die, wie es hieß, vom Aussterben bedrohte Tierart genießt mehr Schutz seitens der Behörden als ein Großteil der Menschen.	22:32	0:121	Die , wie es hieß , vom Aussterben bedrohte Tierart genießt mehr Schutz seitens der Behörden als ein Großteil der Menschen .	7	0:22
Aussterben	NOUN	1968	2	Aussterben-c2-i1	 	Das bjelorussische Volk ist sich in vollem Maße dessen bewußt, daß eine derartige Zerstörung der Volkswirtschaft unter anderen Bedingungen, unter den Bedingungen des Kapitalismus, zur völligen Verelendung des Volkes, zu seinem Aussterben halte führen können.	227:237	0:258	Das bjelorussische Volk ist sich in vollem Maße dessen bewußt , daß eine derartige Zerstörung der Volkswirtschaft unter anderen Bedingungen , unter den Bedingungen des Kapitalismus , zur völligen Verelendung des Volkes , zu seinem Aussterben halte führen können .	35	0:40
Aussterben	NOUN	1968	2	Aussterben-c2-i41	 	Die Meldungen häufen sich -vom Aussterben bedrohte Tier in der DDR verlieren ihre eins sicheren Refugien, zum Beispiel in den früher scharf bewachten Grenzstreifen.	31:41	0:164	Die Meldungen häufen sich - vom Aussterben bedrohte Tier in der DDR verlieren ihre eins sicheren Refugien , zum Beispiel in den früher scharf bewachten Grenzstreifen .	6	0:27
Aussterben	NOUN	1968	2	Aussterben-c2-i14	 	Er berichtete, daß die Volksrepublik Polen gegenwärtig über elf Naturschutzgebiete verfügt, die vorwiegend der Erhaltung vom Aussterben bedrohter Tiere und Pflanzen und der Pflege seltener Naturschutzdenkmäler dienen.	125:135	0:217	Er berichtete , daß die Volksrepublik Polen gegenwärtig über elf Naturschutzgebiete verfügt , die vorwiegend der Erhaltung vom Aussterben bedrohter Tiere und Pflanzen und der Pflege seltener Naturschutzdenkmäler dienen .	18	0:30
Aussterben	NOUN	1968	2	Aussterben-c2-i18	 	Diese Kunstdrucke, im Format 81 mal 57 Zentimeter, wurden vom Berliner Grafiker Reiner Zieger entworfen und zeigen seltene oder in freier Natur vom Aussterben bedrohte Tierarten.	148:158	0:178	Diese Kunstdrucke , im Format 81 mal 57 Zentimeter , wurden vom Berliner Grafiker Reiner Zieger entworfen und zeigen seltene oder in freier Natur vom Aussterben bedrohte Tierarten .	25	0:29
Aussterben	NOUN	1968	2	Aussterben-c2-i72	 	Das Äußerste: das Aussterben eines ganzen Volkes, das vom Pol Pot-Regime und seinen Gönnern im buchstäblichen Sinne zum Aussterben verurteilt worden war.	18:28	0:153	Das Äußerste : das Aussterben eines ganzen Volkes , das vom Pol Pot-Regime und seinen Gönnern im buchstäblichen Sinne zum Aussterben verurteilt worden war .	4	0:25
Aussterben	NOUN	1968	2	Aussterben-c2-i82	 	1971 gegründet, war es zunächst Anliegen der Farm, die Sambesi-Krokos vor dem Aussterben zu retten.	78:88	0:99	1971 gegründet , war es zunächst Anliegen der Farm , die Sambesi- Krokos vor dem Aussterben zu retten .	15	0:19
Aussterben	NOUN	1968	2	Aussterben-c2-i54	 	Dieses neuerdings international in allen Zoos der Welt eingeführte Zeichen informiert den Besucher, daß es sich bei dem hier gezeigten Tier um eine Gattung handelt, die in freier Wildbahn vom Aussterben bedroht ist	192:202	0:214	Dieses neuerdings international in allen Zoos der Welt eingeführte Zeichen informiert den Besucher , daß es sich bei dem hier gezeigten Tier um eine Gattung handelt , die in freier Wildbahn vom Aussterben bedroht ist	32	0:35
Aussterben	NOUN	1968	2	Aussterben-c2-i50	 	Der Höckerschwan, um den es sich bei den Vorkommen bei uns im allgemeinen handelt, konnte vor etlichen Jahren von der Liste der vom Aussterben bedrohten Tierarten gestrichen werden, und in den Gewässern in und um Berlin hat sich zudem sein Bestand erheblich vergrößert.	132:142	0:269	Der Höckerschwan , um den es sich bei den Vorkommen bei uns im allgemeinen handelt , konnte vor etlichen Jahren von der Liste der vom Aussterben bedrohten Tierarten gestrichen werden , und in den Gewässern in und um Berlin hat sich zudem sein Bestand erheblich vergrößert .	25	0:47
Aussterben	NOUN	1968	2	Aussterben-c2-i20	 	Dieses hochbürokratische System sei keine neue Gesellschaftsformation, sondern eine Fehlentwicklung in der Geschichte, vergleichbar fehlentwickelter Arten in der Natur, die zum Aussterben verurteilt sind.	177:187	0:204	Dieses hochbürokratische System sei keine neue Gesellschaftsformation , sondern eine Fehlentwicklung in der Geschichte , vergleichbar fehlentwickelter Arten in der Natur , die zum Aussterben verurteilt sind .	24	0:28
Aussterben	NOUN	1968	2	Aussterben-c2-i55	 	Der afrikanische Elefant gehört zwar noch nicht zu jenen Tieren, die unmittelbar vom Aussterben bedroht sind, doch verringert sich der Dickhäuterbestand rapide.	85:95	0:160	Der afrikanische Elefant gehört zwar noch nicht zu jenen Tieren , die unmittelbar vom Aussterben bedroht sind , doch verringert sich der Dickhäuterbestand rapide .	14	0:25
Aussterben	NOUN	1968	2	Aussterben-c2-i25	 	Frühere Vorstellungen, unseren Kindern nur die Sonnenseiten des Lebens zu präsentieren, weil das Schlechte sowieso am Aussterben sei, bzw. den Heranwachsenden noch früh genug ganz unliterarisch begegnen würde. sind in Theorie und Praxis überwunden.	118:128	0:248	Frühere Vorstellungen , unseren Kindern nur die Sonnenseiten des Lebens zu präsentieren , weil das Schlechte sowieso am Aussterben sei , bzw. den Heranwachsenden noch früh genug ganz unliterarisch begegnen würde . sind in Theorie und Praxis überwunden .	18	0:39
Aussterben	NOUN	1968	2	Aussterben-c2-i68	 	Heute sieht der Moskauer Zoo seine kulturelle und wissenschaftliche Hauptaufgabe im Schutz und der Erhaltung seltener und vom Aussterben bedrohter Tierarten.	126:136	0:157	Heute sieht der Moskauer Zoo seine kulturelle und wissenschaftliche Hauptaufgabe im Schutz und der Erhaltung seltener und vom Aussterben bedrohter Tierarten .	18	0:22
Aussterben	NOUN	1968	2	Aussterben-c2-i70	 	Von den Riesenpandas, die nur in China in freier Wildbahn leben und vom Aussterben bedroht sind, existieren noch etwa 1000 Exemplare in Naturparks in der südwestchinesischen Provinz Sichuan.	72:82	0:190	Von den Riesenpandas , die nur in China in freier Wildbahn leben und vom Aussterben bedroht sind , existieren noch etwa 1000 Exemplare in Naturparks in der südwestchinesischen Provinz Sichuan .	14	0:31
Aussterben	NOUN	1968	2	Aussterben-c2-i44	 	Der Grund: Berlins Tierpark und Moskaus Zoozentrum verstärken ihren Tieraustausch und bauen, um seltene und vom Aussterben bs <	112:122	0:127	Der Grund : Berlins Tierpark und Moskaus Zoozentrum verstärken ihren Tieraustausch und bauen , um seltene und vom Aussterben bs <	18	0:21
Aussterben	NOUN	1968	2	Aussterben-c2-i85	 	Fernsehen und Presse rufen zudem die Öffentlichkeit auf, alles für die Rettung des Pandas zu tun, damit die Hauptattraktion jedes chinesischen Zoos, das Lieblingsmaskottchen aller Kinder, vor allem aber die noch rund 1000 in freier Wildbahn lebenden Baren vor dem Aussterben gerettet werden.	264:274	0:291	Fernsehen und Presse rufen zudem die Öffentlichkeit auf , alles für die Rettung des Pandas zu tun , damit die Hauptattraktion jedes chinesischen Zoos , das Lieblingsmaskottchen aller Kinder , vor allem aber die noch rund 1000 in freier Wildbahn lebenden Baren vor dem Aussterben gerettet werden .	44	0:48
Aussterben	NOUN	1968	2	Aussterben-c2-i98	 	Gemeint ist der vom Aussterben bedrohte, seit Jahrtausenden bekannte Sibirische Kranich, der hier sowie in einigen Gegenden Chinas und Irans überwintert.	20:30	0:153	Gemeint ist der vom Aussterben bedrohte , seit Jahrtausenden bekannte Sibirische Kranich , der hier sowie in einigen Gegenden Chinas und Irans überwintert .	4	0:24
Aussterben	NOUN	1968	2	Aussterben-c2-i35	 	Immer wieder uß er die Frage beantworten ob sein Beruf im Aussterben begriffen ist.	58:68	0:83	Immer wieder uß er die Frage beantworten ob sein Beruf im Aussterben begriffen ist .	11	0:15
Aussterben	NOUN	1968	2	Aussterben-c2-i75	 	Die Ursachen für das Aussterben des stolzen und respektierten Berufs eines Flößers ist der Bau Von Wasserkraftwerken, Eisenbahnlinien und Straßen.	21:31	0:146	Die Ursachen für das Aussterben des stolzen und respektierten Berufs eines Flößers ist der Bau Von Wasserkraftwerken , Eisenbahnlinien und Straßen .	4	0:22
Aussterben	NOUN	1968	2	Aussterben-c2-i74	 	Es handelt sich dabei vor allem um Tiere, die in freier Wildbahn vom Aussterben bedroht sind.	69:79	0:93	Es handelt sich dabei vor allem um Tiere , die in freier Wildbahn vom Aussterben bedroht sind .	14	0:18
Aussterben	NOUN	1968	2	Aussterben-c2-i29	 	1700 Religionen der an Felix Medelssohn Bartholdy; 17.00 anten, 1700 Miep Gies Meine Zeit mit 17.00 Noch oder wieder' Nazis in der 17.00 Hypothesen über das Aussterben; musik, 1400 Porzellan (Hörspiel), 1505 Welt:	157:167	0:213	1700 Religionen der an Felix Medelssohn Bartholdy ; 17.00 anten , 1700 Miep Gies Meine Zeit mit 17.00 Noch oder wieder' Nazis in der 17.00 Hypothesen über das Aussterben ; musik , 1400 Porzellan ( Hörspiel ) , 1505 Welt :	28	0:41
Aussterben	NOUN	1968	2	Aussterben-c2-i94	 	Sichtbar in vielen. oftmals landschaftlich besonders reizvollen Gegenden der Repu> blik, an sauberen Wanderwegen und Lehrpfaden, in Naturschutz gebieten oder den uns erhaltenen, vom Aussterben bedrohten Vertretern der heimischen Tier-und Pflonzenwe	182:192	0:248	Sichtbar in vielen . oftmals landschaftlich besonders reizvollen Gegenden der Repu> blik , an sauberen Wanderwegen und Lehrpfaden , in Naturschutz gebieten oder den uns erhaltenen , vom Aussterben bedrohten Vertretern der heimischen Tier- und Pflonzenwe	28	0:36
Aussterben	NOUN	1968	2	Aussterben-c2-i52	 	Mehr als 30 Pflanzenarten, die im Mecklenburger Raum vom Aussterben bedroht oder gefährdet sind, wachsen in einem der jüngsten Naturschutzgebiete des Bezirkes Neubrandenburg.	57:67	0:174	Mehr als 30 Pflanzenarten , die im Mecklenburger Raum vom Aussterben bedroht oder gefährdet sind , wachsen in einem der jüngsten Naturschutzgebiete des Bezirkes Neubrandenburg .	10	0:26
